model-1604203437,1604203437,in_sample,0.51,0.25
model-1604203437,1604203437,in_sample,0.49,0.2492
model-1604203437,1604203437,in_sample,0.51,0.2477
model-1604203495,1604203495.86,in_sample,0.51,0.2499
model-1604203495,1604203495.904,in_sample,0.51,0.2491
model-1604203495,1604203495.951,in_sample,0.49,0.2498
model-1604203592,1604203592.41,0.51,0.2501,0.56,0.2479
model-1604203592,1604203592.47,0.56,0.2481,0.56,0.2485
model-1604203592,1604203592.53,0.57,0.2463,0.56,0.2468
model-1604203592,1604203592.586,0.56,0.2467,0.56,0.2469
model-1604203592,1604203592.65,0.53,0.2486,0.56,0.2474
model-1604203592,1604203592.708,0.5,0.249,0.44,0.253
model-1604203592,1604203592.773,0.48,0.2515,0.44,0.2507
model-1604203592,1604203592.831,0.49,0.2499,0.56,0.2478
model-1604203592,1604203592.889,0.38,0.2527,0.5,0.2494
model-1604203592,1604203592.946,0.55,0.2492,0.45,0.2519
model-1604203592,1604203593.001,0.41,0.2529,0.55,0.2499
model-1604203592,1604203593.054,0.55,0.2485,0.54,0.2488
model-1604203592,1604203593.111,0.49,0.2493,0.54,0.2482
model-1604203592,1604203593.165,0.5,0.2496,0.54,0.2487
model-1604203592,1604203593.221,0.57,0.249,0.49,0.2501
model-1604203592,1604203593.28,0.52,0.2489,0.49,0.2501
model-1604203592,1604203593.338,0.47,0.2506,0.54,0.2483
model-1604203592,1604203593.406,0.55,0.2482,0.57,0.2472
model-1604203592,1604203593.467,0.63,0.2412,0.56,0.2465
model-1604203592,1604203593.519,0.51,0.2507,0.56,0.2465
model-1604203592,1604203593.574,0.51,0.2511,0.56,0.2463
model-1604203592,1604203593.628,0.52,0.2488,0.56,0.2461
model-1604203592,1604203593.683,0.56,0.2441,0.56,0.2458
model-1604203592,1604203593.74,0.48,0.2493,0.57,0.2456
model-1604203592,1604203593.795,0.55,0.245,0.54,0.2457
model-1604203592,1604203593.848,0.54,0.2449,0.57,0.2458
model-1604203592,1604203593.909,0.6,0.2459,0.53,0.2451
model-1604203592,1604203593.968,0.58,0.2481,0.6,0.2479
model-1604203592,1604203594.026,0.56,0.2464,0.47,0.2544
model-1604203592,1604203594.079,0.55,0.2444,0.48,0.2568
model-1604203592,1604203594.136,0.51,0.2507,0.59,0.2486
model-1604203592,1604203594.187,0.56,0.253,0.5,0.2429
model-1604203592,1604203594.242,0.51,0.2417,0.53,0.2419
model-1604203592,1604203594.294,0.63,0.2347,0.51,0.2409
model-1604203592,1604203594.352,0.57,0.2446,0.53,0.2404
model-1604203592,1604203594.406,0.63,0.2385,0.57,0.2401
model-1604203592,1604203594.467,0.5,0.2576,0.57,0.2426
model-1604203592,1604203594.525,0.52,0.2422,0.49,0.2542
model-1604203592,1604203594.587,0.58,0.2424,0.46,0.2623
model-1604203592,1604203594.642,0.5,0.2473,0.49,0.2589
model-1604203592,1604203594.697,0.55,0.2392,0.51,0.251
model-1604203592,1604203594.749,0.54,0.2469,0.54,0.2483
model-1604203592,1604203594.805,0.69,0.2269,0.52,0.2432
model-1604203592,1604203594.858,0.59,0.2252,0.54,0.2499
model-1604203592,1604203594.914,0.48,0.2545,0.52,0.249
model-1604203592,1604203594.973,0.6,0.2319,0.53,0.2443
model-1604203592,1604203595.03,0.6,0.2274,0.52,0.2442
model-1604203592,1604203595.084,0.6,0.2341,0.53,0.2488
model-1604203592,1604203595.14,0.53,0.2453,0.52,0.2483
model-1604203592,1604203595.193,0.62,0.238,0.5,0.2498
model-1604203592,1604203595.249,0.64,0.2289,0.53,0.2479
model-1604203592,1604203595.302,0.66,0.2263,0.55,0.2469
model-1604203592,1604203595.357,0.57,0.2387,0.56,0.2408
model-1604203592,1604203595.411,0.63,0.2219,0.54,0.2435
model-1604203592,1604203595.467,0.49,0.2703,0.54,0.2418
model-1604203592,1604203595.525,0.55,0.2469,0.5,0.2721
model-1604203592,1604203595.581,0.53,0.2645,0.5,0.2719
model-1604203592,1604203595.637,0.42,0.2826,0.51,0.2511
model-1604203592,1604203595.698,0.6,0.237,0.58,0.2398
model-1604203592,1604203595.755,0.62,0.242,0.59,0.2375
model-1604203592,1604203595.81,0.66,0.2301,0.57,0.2386
model-1604203592,1604203595.862,0.54,0.2403,0.57,0.2403
model-1604203592,1604203595.916,0.5,0.2471,0.59,0.2416
model-1604203592,1604203595.969,0.54,0.2425,0.59,0.2425
model-1604203592,1604203596.024,0.51,0.2419,0.58,0.2428
model-1604203592,1604203596.078,0.55,0.2478,0.59,0.2414
model-1604203592,1604203596.135,0.63,0.2416,0.55,0.2404
model-1604203592,1604203596.188,0.59,0.2408,0.53,0.2411
model-1604203592,1604203596.243,0.53,0.2433,0.53,0.2429
model-1604203592,1604203596.296,0.58,0.2396,0.55,0.2458
model-1604203592,1604203596.355,0.47,0.2507,0.54,0.2461
model-1604203592,1604203596.407,0.54,0.2459,0.54,0.2439
model-1604203592,1604203596.464,0.63,0.2391,0.56,0.2422
model-1604203592,1604203596.516,0.58,0.243,0.55,0.2404
model-1604203592,1604203596.572,0.61,0.2329,0.52,0.2392
model-1604203592,1604203596.625,0.63,0.2349,0.52,0.2386
model-1604203592,1604203596.68,0.61,0.2317,0.53,0.2377
model-1604203592,1604203596.736,0.54,0.2488,0.54,0.2372
model-1604203592,1604203596.792,0.63,0.2351,0.55,0.2362
model-1604203592,1604203596.843,0.76,0.2114,0.55,0.2361
model-1604203592,1604203596.898,0.65,0.226,0.56,0.236
model-1604203592,1604203596.95,0.6,0.227,0.58,0.2326
model-1604203592,1604203597.007,0.62,0.2278,0.65,0.2293
model-1604203592,1604203597.066,0.56,0.2304,0.6,0.2315
model-1604203592,1604203597.122,0.5,0.2841,0.65,0.2288
model-1604203592,1604203597.182,0.65,0.226,0.61,0.2334
model-1604203592,1604203597.243,0.61,0.2235,0.55,0.2457
model-1604203592,1604203597.299,0.66,0.2251,0.61,0.2307
model-1604203592,1604203597.355,0.62,0.223,0.65,0.2258
model-1604203592,1604203597.408,0.62,0.2293,0.6,0.2276
model-1604203592,1604203597.468,0.6,0.2479,0.57,0.2403
model-1604203592,1604203597.525,0.59,0.2343,0.57,0.2413
model-1604203592,1604203597.584,0.61,0.2252,0.56,0.2404
model-1604203592,1604203597.638,0.61,0.2294,0.57,0.2352
model-1604203592,1604203597.701,0.63,0.2249,0.63,0.2258
model-1604203592,1604203597.758,0.63,0.2182,0.65,0.2224
model-1604203592,1604203597.815,0.64,0.2296,0.62,0.2225
model-1604203592,1604203597.87,0.57,0.2382,0.62,0.2222
model-1604203592,1604203597.929,0.56,0.2542,0.64,0.2225
